,status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
303,... < 0 DM,10,critical account/ other credits existing (not at this bank),car (new),1038,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,co-applicant,3,building society savings agreement/ life insurance,49,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
304,no checking account,48,critical account/ other credits existing (not at this bank),car (new),10127,500 <= ... < 1000 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,unknown / no property,44,bank,for free,1,skilled employee / official,1,none,yes,bad
305,no checking account,6,existing credits paid back duly till now,furniture/equipment,1543,... >= 1000 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,33,none,own,1,skilled employee / official,1,none,yes,good
306,no checking account,30,existing credits paid back duly till now,car (used),4811,unknown/ no savings account,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,stores,rent,1,unskilled - resident,1,none,yes,good
307,... < 0 DM,12,existing credits paid back duly till now,radio/television,727,100 <= ... < 500 DM,... < 1 year,4,female : divorced/separated/married,none,3,unknown / no property,33,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,bad
308,0 <= ... < 200 DM,8,existing credits paid back duly till now,furniture/equipment,1237,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee / official,1,none,yes,bad
309,0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),276,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,real estate,22,none,rent,1,unskilled - resident,1,none,yes,good
310,0 <= ... < 200 DM,48,existing credits paid back duly till now,others,5381,unknown/ no savings account,unemployed,3,female : divorced/separated/married,none,4,unknown / no property,40,bank,for free,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,good
311,no checking account,24,existing credits paid back duly till now,furniture/equipment,5511,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,"car or other, not in attribute Savings account/bonds",25,stores,own,1,skilled employee / official,1,none,yes,good
312,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,3749,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",26,none,own,1,skilled employee / official,1,none,yes,good
313,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),685,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",25,bank,own,1,unskilled - resident,1,none,yes,bad
314,... >= 200 DM / salary assignments for at least 1 year,4,existing credits paid back duly till now,car (new),1494,unknown/ no savings account,... < 1 year,1,female : divorced/separated/married,none,2,real estate,29,none,own,1,unskilled - resident,2,none,no,good
315,... < 0 DM,36,all credits at this bank paid back duly,furniture/equipment,2746,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",31,bank,own,1,skilled employee / official,1,none,yes,bad
316,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,708,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,guarantor,3,building society savings agreement/ life insurance,38,none,own,1,unskilled - resident,2,none,yes,good
317,0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,4351,unknown/ no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,48,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,good
318,no checking account,12,critical account/ other credits existing (not at this bank),education,701,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",32,none,own,2,skilled employee / official,1,none,yes,good
319,... < 0 DM,15,delay in paying off in the past,furniture/equipment,3643,... < 100 DM,... >= 7 years,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,27,none,own,2,unskilled - resident,1,none,yes,good
320,0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),4249,... < 100 DM,unemployed,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",28,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,bad
321,... < 0 DM,24,existing credits paid back duly till now,radio/television,1938,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,none,yes,bad
322,... < 0 DM,24,existing credits paid back duly till now,car (used),2910,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,1,unknown / no property,34,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
323,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2659,... >= 1000 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",28,none,own,1,skilled employee / official,1,none,yes,good
324,no checking account,18,critical account/ other credits existing (not at this bank),car (new),1028,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee / official,1,none,yes,good
325,... < 0 DM,8,critical account/ other credits existing (not at this bank),car (new),3398,... < 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,real estate,39,none,own,2,unskilled - resident,1,none,no,good
326,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,5801,unknown/ no savings account,... >= 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,49,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
327,no checking account,24,existing credits paid back duly till now,car (new),1525,... >= 1000 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",34,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,good
328,... >= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,4473,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",31,none,own,1,skilled employee / official,1,none,yes,good
329,0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,1068,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",28,none,own,1,skilled employee / official,2,none,yes,good
330,... < 0 DM,24,critical account/ other credits existing (not at this bank),car (used),6615,... < 100 DM,unemployed,2,female : divorced/separated/married,none,4,unknown / no property,75,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
331,no checking account,18,critical account/ other credits existing (not at this bank),education,1864,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee / official,1,none,yes,bad
332,0 <= ... < 200 DM,60,existing credits paid back duly till now,car (new),7408,100 <= ... < 500 DM,... < 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,24,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,bad
333,no checking account,48,critical account/ other credits existing (not at this bank),car (used),11590,100 <= ... < 500 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",24,bank,rent,2,unskilled - resident,1,none,yes,bad
334,... < 0 DM,24,no credits taken/ all credits paid back duly,furniture/equipment,4110,... < 100 DM,... >= 7 years,3,female : divorced/separated/married,none,4,unknown / no property,23,bank,rent,2,skilled employee / official,2,none,yes,bad
335,... < 0 DM,6,critical account/ other credits existing (not at this bank),furniture/equipment,3384,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,real estate,44,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,bad
336,0 <= ... < 200 DM,13,existing credits paid back duly till now,radio/television,2101,... < 100 DM,... < 1 year,2,female : divorced/separated/married,guarantor,4,building society savings agreement/ life insurance,23,none,own,1,unskilled - resident,1,none,yes,good
337,... < 0 DM,15,existing credits paid back duly till now,domestic appliances,1275,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",24,none,rent,1,skilled employee / official,1,none,yes,bad
338,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,4169,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,28,none,own,1,skilled employee / official,1,none,yes,good
339,0 <= ... < 200 DM,10,existing credits paid back duly till now,furniture/equipment,1521,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",31,none,own,1,unskilled - resident,1,none,yes,good
340,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),education,5743,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,4,unknown / no property,24,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
